Date Time,Sensor_Data,Feature_1,Feature_2,Actual_Data
1/01/16  00:00,42.1,25,51,42.1
1/01/16  01:00,41,25,53,41
1/01/16  02:00,41,26.1,55,41
1/01/16  03:00,41,26.1,55,41
1/01/16  04:00,39.9,26.1,58,39.9
1/01/16  05:00,39.9,26.1,58,39.9
1/01/16  06:00,39,26.1,60,39
1/01/16  07:00,39,25,57,39
1/01/16  08:00,39,24.1,55,39
1/01/16  09:00,39.9,25,55,39.9
1/01/16  10:00,39.9,24.1,53,39.9
1/01/16  11:00,39.9,23,51,39.9
1/01/16  12:00,39.9,23,51,39.9
1/01/16  13:00,39.9,23,51,39.9
1/01/16  14:00,39,21,49,39
1/01/16  15:00,39,19.9,46,39
1/01/16  16:00,37.9,19.9,48,37.9
1/01/16  17:00,37.9,19.9,48,37.9
1/01/16  18:00,37,19.9,50,37
1/02/16  19:00,37,19,48,37
1/02/16  20:00,36,19,50,36
1/02/16  21:00,35.1,19.9,54,35.1
1/02/16  22:00,35.1,19,52,35.1
1/02/16  23:00,35.1,16,46,35.1
1/02/16  00:00,34,15.1,46,34
1/02/16  01:00,34,16,48,34
1/02/16  02:00,34,17.1,50,34
1/02/16  03:00,34,17.1,50,34
1/02/16  04:00,33.1,18,54,33.1
1/02/16  05:00,33.1,18,54,33.1
1/02/16  06:00,33.1,18,54,33.1
1/02/16  07:00,34,18,52,34
1/02/16  08:00,34,17.1,50,34
1/02/16  09:00,35.1,17.1,48,35.1
1/02/16  10:00,37,18,46,37
1/02/16  11:00,37,17.1,44,37
1/02/16  12:00,37.9,17.1,43,37.9
1/02/16  13:00,39,18,43,39
1/02/16  14:00,39,19,45,39
1/02/16  15:00,39.9,19,43,39.9
1/02/16  16:00,39,18,43,39
1/02/16  17:00,37,17.1,44,37
1/02/16  18:00,36,17.1,46,36
1/03/16  19:00,36,17.1,46,36
1/03/16  20:00,35.1,18,50,35.1
1/03/16  21:00,36,18,48,36
1/03/16  22:00,35.1,19,52,35.1
1/03/16  23:00,36,19.9,52,36
1/03/16  00:00,35.1,19.9,54,35.1
1/03/16  01:00,36,19.9,52,36
1/03/16  02:00,36,19.9,52,36
1/03/16  03:00,36,19.9,52,36
1/03/16  04:00,37,19.9,50,37
1/03/16  05:00,36,19.9,52,36
1/03/16  06:00,35.1,21,57,35.1
1/03/16  07:00,36,21,55,36
1/03/16  08:00,37.9,21,51,37.9
1/03/16  09:00,39,21,49,39
1/03/16  10:00,,19.9,40,43
1/03/16  11:00,44.1,19,37,44.1
1/03/16  12:00,44.1,19.9,38,44.1
1/03/16  13:00,44.1,21,40,44.1
1/03/16  14:00,42.1,21,43,42.1
1/03/16  15:00,41,19.9,43,41
1/03/16  16:00,41,21,45,41
1/03/16  17:00,41,21,45,41
1/03/16  18:00,39.9,21,47,39.9
1/04/16  19:00,39,21.9,50,39
1/04/16  20:00,37.9,21.9,53,37.9
1/04/16  21:00,37,21.9,54,37
1/04/16  22:00,37,23,57,37
1/04/16  23:00,36,23,59,36
1/04/16  00:00,36,23,59,36
1/04/16  01:00,36,23,59,36
1/04/16  02:00,35.1,19,52,35.1
1/04/16  03:00,34,17.1,50,34
1/04/16  04:00,33.1,15.1,48,33.1
1/04/16  05:00,30.9,15.1,52,30.9
1/04/16  06:00,30,14,51,30
1/04/16  07:00,28.9,12.9,51,28.9
1/04/16  08:00,28.9,12.9,51,28.9
1/04/16  09:00,28,8.1,43,28
1/04/16  10:00,,8.1,43,28
1/04/16  11:00,28,5,38,28
1/04/16  12:00,30,1.9,30,30
1/04/16  13:00,28,1,31,28
1/04/16  14:00,28,0,30,28
1/04/16  15:00,26.1,5,41,26.1
1/04/16  16:00,23,3.9,44,23
1/04/16  17:00,21,3,46,21
1/04/16  18:00,19.9,1,44,19.9
1/05/16  19:00,19,1.9,47,19
1/05/16  20:00,18,1.9,50,18
1/05/16  21:00,17.1,0,47,17.1
1/05/16  02:00,12,-0.9,56,12
1/05/16  03:00,12,-2,53,12
1/05/16  04:00,12,-2.9,51,12
1/05/16  05:00,10.9,-2.9,54,10.9
1/05/16  06:00,10.9,-2.9,54,10.9
1/05/16  07:00,12,-2,53,12
1/05/16  08:00,12.9,-4,47,12.9
1/05/16  09:00,17.1,-2,43,17.1
1/05/16  10:00,19,-4,36,19
1/05/16  11:00,21.9,-5.1,30,21.9
1/05/16  12:00,25,-6,26,25
1/05/16  13:00,27,-6,24,27
1/05/16  14:00,28,-4,25,28
1/05/16  15:00,28,-2.9,26,28
1/05/16  16:00,28,-4,25,28
1/05/16  17:00,27,-2.9,27,27
1/05/16  18:00,27,-2.9,27,27
1/06/16  19:00,28,-2,27,28
1/06/16  20:00,28.9,-2,26,28.9
1/06/16  21:00,28,0,30,28
1/06/16  22:00,28,0,30,28
1/06/16  23:00,27,1,33,27
1/06/16  00:00,28,1,31,28
1/06/16  01:00,27,3.9,37,27
1/06/16  02:00,26.1,5,41,26.1
1/06/16  03:00,26.1,7,44,26.1
1/06/16  04:00,25,9,51,25
1/06/16  05:00,26.1,8.1,47,26.1
1/06/16  06:00,26.1,8.1,47,26.1
1/06/16  07:00,27,6.1,41,27
1/06/16  08:00,30,3,32,30
1/06/16  09:00,30,3,32,30
1/06/16  10:00,33.1,1.9,27,33.1
1/06/16  11:00,36,1,23,36
1/06/16  12:00,37.9,1,21,37.9
1/06/16  13:00,39.9,0,19,39.9
1/06/16  14:00,39.9,-0.9,18,39.9
1/06/16  15:00,39,1,20,39
1/06/16  16:00,37.9,3,23,37.9
1/06/16  17:00,37.9,6.1,27,37.9
1/06/16  18:00,37,3.9,25,37
1/07/16  19:00,36,6.1,29,36
1/07/16  20:00,37,3.9,25,37
1/07/16  21:00,36,5,27,36
1/07/16  22:00,35.1,9,34,35.1
1/07/16  23:00,34,6.1,31,34
1/07/16  00:00,35.1,3.9,27,35.1
1/07/16  01:00,34,5,30,34
1/07/16  02:00,33.1,5,31,33.1
1/07/16  03:00,33.1,6.1,32,33.1
1/07/16  04:00,32,9,38,32
1/07/16  05:00,32,8.1,37,32
1/07/16  06:00,30.9,7,37,30.9
1/07/16  07:00,32,9,38,32
1/07/16  08:00,35.1,7,31,35.1
1/07/16  09:00,37.9,5,25,37.9
1/07/16  10:00,42.1,6.1,23,42.1
1/07/16  11:00,42.1,8.1,25,42.1
1/07/16  12:00,44.1,10,25,44.1
1/07/16  13:00,45,9,23,45
1/07/16  13:33,45,10,24,45
1/07/16  13:00,45,10,24,45
1/07/16  14:00,45,9,23,45
1/07/16  15:23,46,15.1,29,46
1/07/16  15:44,45,12.9,27,45
1/07/16  15:00,46,12.9,26,46
1/07/16  16:00,45,18,34,45
1/07/16  17:00,45,21.9,40,45
1/07/16  18:00,44.1,18,35,44.1
1/08/16  19:00,42.1,19,40,42.1
1/08/16  20:00,42.1,19,40,42.1
1/08/16  21:00,42.1,19,40,42.1
1/08/16  22:00,39,19.9,46,39
1/08/16  23:00,39.2,17.6,42,39.2
1/08/16  00:00,37.4,21.2,52,37.4
1/08/16  01:00,37.4,21.2,52,37.4
1/08/16  02:00,37.4,21.2,52,37.4
1/08/16  03:00,35.6,19.4,52,35.6
1/08/16  04:00,35.6,17.6,48,35.6
1/08/16  05:00,35.6,17.6,48,35.6
1/08/16  06:00,35.6,21.2,56,35.6
1/08/16  07:00,37.4,24.8,60,37.4
1/08/16  09:00,39.2,30.2,70,39.2
1/08/16  10:00,41,30.2,65,41
1/08/16  11:00,42.8,39.2,87,42.8
1/08/16  12:00,42.8,33.8,70,42.8
1/08/16  13:00,42.8,32,66,42.8
1/08/16  14:28,43,30.9,62,43
1/08/16  14:00,43,30.9,62,43
1/08/16  15:00,43,33.1,68,43
1/08/16  16:00,44.1,33.1,65,44.1
1/08/16  17:28,44.1,33.1,65,44.1
1/08/16  17:48,44.6,33.8,66,44.6
1/08/16  17:00,44.1,33.1,65,44.1
1/08/16  18:36,44.1,30.9,60,44.1
1/08/16  18:00,44.1,30.9,60,44.1
1/09/16  19:00,44.1,30.9,60,44.1
1/09/16  20:00,44.1,30.9,60,44.1
1/09/16  21:10,43,32,65,43
1/09/16  21:42,42.1,33.1,70,42.1
1/09/16  21:00,42.1,33.1,70,42.1
1/09/16  22:00,42.1,33.1,70,42.1
1/09/16  23:18,42.1,33.1,70,42.1
1/09/16  23:46,42.8,33.8,70,42.8
1/09/16  23:00,41,32,70,41
1/09/16  00:00,41,32,70,41
1/09/16  01:00,41,33.1,73,41
1/09/16  02:00,41,33.1,73,41
1/09/16  03:00,39.9,33.1,77,39.9
1/09/16  04:00,41,34,76,41
1/09/16  05:00,41,34,76,41
1/09/16  06:00,41,35.1,79,41
1/09/16  07:38,42.1,36,79,42.1
1/09/16  07:00,42.1,36,79,42.1
1/09/16  08:00,42.1,36,79,42.1
1/09/16  09:00,44.1,37,76,44.1
