DateTime,Temperature,DewPoint,Humidity
1/1/2016 0:00,42.1,25,51
1/1/2016 1:00,41,25,53
1/1/2016 2:00,41,26.1,55
1/1/2016 3:00,41,26.1,55
1/1/2016 4:00,39.9,26.1,58
1/1/2016 5:00,39.9,26.1,58
1/1/2016 6:00,39,26.1,60
1/1/2016 7:00,39,25,57
1/1/2016 8:00,39,24.1,55
1/1/2016 9:00,39.9,25,55
1/1/2016 10:00,39.9,24.1,53
1/1/2016 11:00,39.9,23,51
1/1/2016 12:00,39.9,23,51
1/1/2016 13:00,39.9,23,51
1/1/2016 14:00,39,21,49
1/1/2016 15:00,39,19.9,46
1/1/2016 16:00,37.9,19.9,48
1/1/2016 17:00,37.9,19.9,48
1/1/2016 18:00,37,19.9,50
1/2/2016 19:00,37,19,48
1/2/2016 20:00,36,19,50
1/2/2016 21:00,35.1,19.9,54
1/2/2016 22:00,35.1,19,52
1/2/2016 23:00,35.1,16,46
1/2/2016 0:00,34,15.1,46
1/2/2016 1:00,34,16,48
1/2/2016 2:00,34,17.1,50
1/2/2016 3:00,34,17.1,50
1/2/2016 4:00,33.1,18,54
1/2/2016 5:00,33.1,18,54
1/2/2016 6:00,33.1,18,54
1/2/2016 7:00,34,18,52
1/2/2016 8:00,34,17.1,50
1/2/2016 9:00,35.1,17.1,48
1/2/2016 10:00,37,18,46
1/2/2016 11:00,37,17.1,44
1/2/2016 12:00,37.9,17.1,43
1/2/2016 13:00,39,18,43
1/2/2016 14:00,39,19,45
1/2/2016 15:00,39.9,19,43
1/2/2016 16:00,39,18,43
1/2/2016 17:00,37,17.1,44
1/2/2016 18:00,36,17.1,46
1/3/2016 19:00,36,17.1,46
1/3/2016 20:00,35.1,18,50
1/3/2016 21:00,36,18,48
1/3/2016 22:00,35.1,19,52
1/3/2016 23:00,36,19.9,52
1/3/2016 0:00,35.1,19.9,54
1/3/2016 1:00,36,19.9,52
1/3/2016 2:00,36,19.9,52
1/3/2016 3:00,36,19.9,52
1/3/2016 4:00,37,19.9,50
1/3/2016 5:00,36,19.9,52
1/3/2016 6:00,35.1,21,57
1/3/2016 7:00,36,21,55
1/3/2016 8:00,37.9,21,51
1/3/2016 9:00,39,21,49
1/3/2016 10:00,43,19.9,40
1/3/2016 11:00,44.1,19,37
1/3/2016 12:00,44.1,19.9,38
1/3/2016 13:00,44.1,21,40
1/3/2016 14:00,42.1,21,43
1/3/2016 15:00,41,19.9,43
1/3/2016 16:00,41,21,45
1/3/2016 17:00,41,21,45
1/3/2016 18:00,39.9,21,47
1/4/2016 19:00,39,21.9,50
1/4/2016 20:00,37.9,21.9,53
1/4/2016 21:00,37,21.9,54
1/4/2016 22:00,37,23,57
1/4/2016 23:00,36,23,59
1/4/2016 0:00,36,23,59
1/4/2016 1:00,36,23,59
1/4/2016 2:00,35.1,19,52
1/4/2016 3:00,34,17.1,50
1/4/2016 4:00,33.1,15.1,48
1/4/2016 5:00,30.9,15.1,52
1/4/2016 6:00,30,14,51
1/4/2016 7:00,28.9,12.9,51
1/4/2016 8:00,28.9,12.9,51
1/4/2016 9:00,28,8.1,43
1/4/2016 10:00,28,8.1,43
1/4/2016 11:00,28,5,38
1/4/2016 12:00,30,1.9,30
1/4/2016 13:00,28,1,31
1/4/2016 14:00,28,0,30
1/4/2016 15:00,26.1,5,41
1/4/2016 16:00,23,3.9,44
1/4/2016 17:00,21,3,46
1/4/2016 18:00,19.9,1,44
1/5/2016 19:00,19,1.9,47
1/5/2016 20:00,18,1.9,50
1/5/2016 21:00,17.1,0,47
1/5/2016 2:00,12,-0.9,56
1/5/2016 3:00,12,-2,53
1/5/2016 4:00,12,-2.9,51
1/5/2016 5:00,10.9,-2.9,54
1/5/2016 6:00,10.9,-2.9,54
1/5/2016 7:00,12,-2,53
1/5/2016 8:00,12.9,-4,47
1/5/2016 9:00,17.1,-2,43
1/5/2016 10:00,19,-4,36
1/5/2016 11:00,21.9,-5.1,30
1/5/2016 12:00,25,-6,26
1/5/2016 13:00,27,-6,24
1/5/2016 14:00,28,-4,25
1/5/2016 15:00,28,-2.9,26
1/5/2016 16:00,28,-4,25
1/5/2016 17:00,27,-2.9,27
1/5/2016 18:00,27,-2.9,27
1/6/2016 19:00,28,-2,27
1/6/2016 20:00,28.9,-2,26
1/6/2016 21:00,28,0,30
1/6/2016 22:00,28,0,30
1/6/2016 23:00,27,1,33
1/6/2016 0:00,28,1,31
1/6/2016 1:00,27,3.9,37
1/6/2016 2:00,26.1,5,41
1/6/2016 3:00,26.1,7,44
1/6/2016 4:00,25,9,51
1/6/2016 5:00,26.1,8.1,47
1/6/2016 6:00,26.1,8.1,47
1/6/2016 7:00,27,6.1,41
1/6/2016 8:00,30,3,32
1/6/2016 9:00,30,3,32
1/6/2016 10:00,33.1,1.9,27
1/6/2016 11:00,36,1,23
1/6/2016 12:00,37.9,1,21
1/6/2016 13:00,39.9,0,19
1/6/2016 14:00,39.9,-0.9,18
1/6/2016 15:00,39,1,20
1/6/2016 16:00,37.9,3,23
1/6/2016 17:00,37.9,6.1,27
1/6/2016 18:00,37,3.9,25
1/7/2016 19:00,36,6.1,29
1/7/2016 20:00,37,3.9,25
1/7/2016 21:00,36,5,27
1/7/2016 22:00,35.1,9,34
1/7/2016 23:00,34,6.1,31
1/7/2016 0:00,35.1,3.9,27
1/7/2016 1:00,34,5,30
1/7/2016 2:00,33.1,5,31
1/7/2016 3:00,33.1,6.1,32
1/7/2016 4:00,32,9,38
1/7/2016 5:00,32,8.1,37
1/7/2016 6:00,30.9,7,37
1/7/2016 7:00,32,9,38
1/7/2016 8:00,35.1,7,31
1/7/2016 9:00,37.9,5,25
1/7/2016 10:00,42.1,6.1,23
1/7/2016 11:00,42.1,8.1,25
1/7/2016 12:00,44.1,10,25
1/7/2016 13:00,45,9,23
1/7/2016 13:33,45,10,24
1/7/2016 13:00,45,10,24
1/7/2016 14:00,45,9,23
1/7/2016 15:23,46,15.1,29
1/7/2016 15:44,45,12.9,27
1/7/2016 15:00,46,12.9,26
1/7/2016 16:00,45,18,34
1/7/2016 17:00,45,21.9,40
1/7/2016 18:00,44.1,18,35
1/8/2016 19:00,42.1,19,40
1/8/2016 20:00,42.1,19,40
1/8/2016 21:00,42.1,19,40
1/8/2016 22:00,39,19.9,46
1/8/2016 23:00,39.2,17.6,42
1/8/2016 0:00,37.4,21.2,52
1/8/2016 1:00,37.4,21.2,52
1/8/2016 2:00,37.4,21.2,52
1/8/2016 3:00,35.6,19.4,52
1/8/2016 4:00,35.6,17.6,48
1/8/2016 5:00,35.6,17.6,48
1/8/2016 6:00,35.6,21.2,56
1/8/2016 7:00,37.4,24.8,60
